At least 1000 for a fifty fifty change that you share the data shown:

RISK_PRIVACY= 0.1 # Percent

At least 333 people in your vicintiy for a fifty fifty chance that you can 
borrow a phone (not quite true - as we in an 'F' there are a lot of people who
have the same 'F' -- so perhaps we should; given more options; go light on 
the 'F' and pick 'V' instead if roughly equal).

RISK_FRAUD  = 0.3; # Percent - 

Note:  this does not yet reflect the 'V' issue of the 'Van somethings'.

Pair	best	sans-F		qualifying
KX	VM	VM		VM
KY	F	VM		F VM
KZ	VM	VM		VM
LA	FM	VD		FM VD VF
LB	VD	VD		VD FD
LC	VD	VD		VD FM
LD	VF	VD		VF VD FD
LE	FM	VD		FM VD VF
LF	VD	VD		VD FM
LG	VF	VD		VF FM VD
LH	FD	VD		FD VD
LI	VD	VD		VD
LJ	FM	VD		FM VF VD
LK	FD	VD		FD VD
LL	VF	VD		VF VD FM FD
LM	FD	VD		FD VD VF
LN	VD	VD		VD FM
LO	VD	VD		VD FM VF
LP	VF	VD		VF VD FM FD
LQ	VD	VD		VD F
LR	VF	VD		VF VD FM FD
LS	VD	VD		VD FD
LT	FM	VD		FM VD VF
LU	VD	VD		VD F
LV	VD	VD		VD
LW	VD	VD		VD VF FD FM
LX	VD	VD		VD
LY	F	VD		F VD
LZ	VD	VD		VD
MA	FM			FM
MB	VFM			VFM FD
MC	VF			VF FM
MD	FD			FD
ME	FM			FM VF
MF	VF			VF FM
MG	FM			FM
MH	FD			FD
MI	VF*			
MJ	FM			FM
MK	FD			FD
ML	FM			FM FD
MM	FD			FD
MN	VF			VF FM
MO	VF			VF FM
MP	FM			FM FD
MQ	F			F
MR	FM			FM FD
MS	FD			FD
MT	FM			FM
MU	F			F
MV	VFM*			
MW	FD			FD FM
MX	VMD*			
MY	F			F
MZ	VF			VF
NA	FM	VM		FM VM
NB	VM	VM		VM FD
NC	VM	VM		VM FM
ND	VM	VM		VM VF FD
NE	VM	VM		VM FM
NF	VM	VM		VM FM
NG	VM	VM		VM FM VF
NH	FD	VM		FD VM VF
NI	VM	VM		VM
NJ	FM	VM		FM VM
NK	VM	VM		VM FD VF
NL	VM	VM		VM FM VF FD
NM	VM	VM		VM VF FD
NN	VM	VM		VM FM
NO	VM	VM		VM FM
NP	VM	VM		VM FM FD VF
NQ	VM	VM		VM F
NR	VM	VM		VM VF FM FD
NS	VM	VM		VM VF FD
NT	VM	VM		VM FM
NU	VM	VM		VM F
NV	VF	VM		VF VM
NW	VM	VM		VM VF FD FM
NX	VM	VM		VM
NY	F	VM		F VM
NZ	VM	VM		VM
OA	FM			FM
OB	FD			FD
OC	FM			FM
OD	FD			FD
OE	FM			FM
OF	FM			FM
OG	FM			FM
OH	FD			FD
OI	FM*			
OJ	FM			FM
OK	FD			FD
OL	FM			FM FD
OM	FD			FD
ON	FM			FM
OO	FM			FM
OP	FM			FM FD
OQ	F			F
OR	FM			FM FD
OS	FD			FD
OT	FM			FM
OU	F			F
OV	FMD*			
OW	FD			FD FM
OX	VM*			
OY	F			F
OZ	FM*			
PA	FM	VD		FM VD
PB	VD	VD		VD FD
PC	FM	VD		FM VD
PD	VF	VD		VF VD FD
PE	FM	VD		FM VD
PF	VD	VD		VD FM
