At least 1000 for a fifty fifty change that you share the data shown:

RISK_PRIVACY= 0.1; # Percent

At least 333 people in your vicintiy for a fifty fifty chance that you can 
borrow a phone (not quite true - as we in an 'F' there are a lot of people who
have the same 'F' -- so perhaps we should; given more options; go light on 
the 'F' and pick 'V' instead if roughly equal).

RISK_FRAUD  = 0.3; # Percent - 

Note:  this does not yet reflect the 'V' issue of the 'Van somethings'.

Pair	best		qualifying
OU	F		F           
OV	FMD*		           
OW	FD		FD FM          
OX	VM*		           
OY	F		F           
OZ	FM*		           
PA	FM		FM VD          
PB	VD		VD FD          
PC	FM		FM VD          
PD	VF		VF VD FD         
PE	FM		FM VD          
PF	VD		VD FM          
PG	VF		VF FM VD         
PH	FD		FD VD          
PI	VD		VD           
PJ	FM		FM VD VF         
PK	FD		FD VD          
PL	VF		VF FM VD FD        
PM	VF		VF FD VD         
PN	FM		FM VD          
PO	FM		FM VD          
PP	VF		VF FM VD FD        
PQ	VD		VD F          
PR	VF		VF VD FM FD        
PS	FD		FD VD          
PT	FM		FM VD VF         
PU	VD		VD F          
PV	VD		VD           
PW	VF		VF VD FD FM        
PX	VD		VD           
PY	F		F VD          
PZ	VD		VD           
QA	FM		FM V          
QB	FD		FD V          
QC	FM		FM V          
QD	FD		FD V          
QE	FM		FM V          
QF	FM		FM V          
QG	FM		FM V          
QH	FD		FD V          
QI	V		V           
QJ	FM		FM V          
QK	FD		FD V          
QL	FM		FM FD V         
QM	FD		FD V          
QN	FM		FM V          
QO	FM		FM V          
QP	FM		FM FD V         
QQ	V		V F          
QR	FM		FM FD V         
QS	FD		FD V          
QT	FM		FM V          
QU	F		F V          
QV	V		V           
QW	FD		FD FM V         
QX	V		V           
QY	F		F V          
QZ	V		V           
RA	FM		FM VD VF         
RB	VD		VD FD          
RC	VD		VD FM          
RD	VD		VD FD VF         
RE	VD		VD FM VF         
RF	VD		VD FM          
RG	VD		VD FM VF         
RH	FD		FD VD          
RI	VD		VD           
RJ	VF		VF VD FM         
RK	VD		VD FD          
RL	VD		VD FM VF FD        
RM	VD		VD FD          
RN	VD		VD FM VF         
RO	VD		VD FM VF         
RP	VD		VD VF FM FD        
RQ	VD		VD F          
RR	VD		VD VF FM FD        
RS	VD		VD FD          
RT	VD		VD VF FM         
RU	VD		VD F          
RV	VD		VD           
RW	VD		VD FD FM         
RX	VD		VD           
RY	F		F VD          
RZ	VD		VD           
SA	FM		FM VF VD         
SB	VD		VD FD          
SC	VD		VD FM          
SD	VD		VD VF FD         
SE	VD		VD FM VF         
SF	VD		VD FM          
SG	VD		VD VF FM         
SH	FD		FD VD          
SI	VD		VD           
SJ	FM		FM VD VF         
SK	FD		FD VD          
SL	VD		VD VF FM FD        
SM	VD		VD FD VF         
SN	VD		VD FM VF         
SO	VD		VD FM VF         
SP	VF		VF VD FM FD        
SQ	VD		VD F          
SR	VD		VD VF FM FD        
SS	VD		VD FD          
ST	VD		VD VF FM         
SU	VD		VD F          
SV	VD		VD           
SW	VD		VD FD VF FM        
SX	VD		VD           
SY	F		F VD          
SZ	VD		VD           
TA	FM		FM VD VM         
TB	VD		VD VM FD         
TC	FM		FM VD VM         
TD	VF		VF FD VD VM        
TE	FM		FM VD VM         
TF	VD		VD FM VM         
TG	FM		FM VF VD VM        
TH	FD		FD VD VM         
TI	VD		VD VM          
TJ	FM		FM VF VD VM        
TK	FD		FD VD VM VF        
TL	VF		VF FM VD VM FD       
TM	VF		VF FD VD VM        
TN	FM		FM VD VM         
TO	FM		FM VD VM         
TP	VF		VF FM VD VM FD       
TQ	VD		VD VM F         
TR	VF		VF FM VD FD VM       
TS	FD		FD VD VM         
TT	FM		FM VD VM         
TU	VD		VD VM F         
TV	VF		VF VD VM         
TW	VF		VF FD VD VM FM       
TX	VD		VD VM          
TY	F		F VD VM         
TZ	VD		VD VM          
UA	FM		FM V          
UB	FD		FD V          
UC	FM		FM V          
UD	FD		FD V          
UE	FM		FM V          
UF	FM		FM V          
UG	FM		FM V          
UH	FD		FD V          
UI	V		V           
UJ	FM		FM V          
UK	FD		FD V          
UL	FM		FM FD V         
UM	FD		FD V          
UN	FM		FM V          
UO	FM		FM V          
UP	FM		FM FD V         
UQ	F		F V          
UR	FM		FM FD V         
US	FD		FD V          
UT	FM		FM V          
UU	F		F V          
UV	V		V           
UW	FD		FD FM V         
UY	F		F V          
UZ	V		V           
VA	FM		FM           
VB	FD		FD           
VC	FM		FM           
VD	FD		FD           
VE	FM		FM           
VF	FM		FM           
VG	FM		FM           
VH	FD		FD           
VI	VM*		           
VJ	FM		FM           
VK	FD		FD           
VL	FM		FM FD          
VM	FD		FD           
VN	FM		FM           
VO	FM		FM           
VP	FM		FM FD          
VQ	F		F           
VR	FM		FM FD          
VS	FD		FD           
VT	FM		FM           
VU	F		F           
VV	FMD*		           
VW	FD		FD FM          
VX	VM*		           
VY	F		F           
VZ	FM*		           
WA	FM		FM VM VD         
WB	VM		VM VD FD         
WC	FM		FM VM VD         
WD	VF		VF VM FD VD        
WE	FM		FM VM VD         
WF	VM		VM VD FM         
